original;connected;weight;SENS UNIQUE;trafic
2.81847, 50.59557;2.81044, 50.59775;60;0;0
2.81861, 50.5379;2.81725, 50.53866;18;0;2
2.81861, 50.5379;2.81904, 50.53812;4;0;2
2.81863, 50.53703;2.81934, 50.53741;13;0;2
2.81868, 50.53593;2.81814, 50.53695;72;0;0
2.81878, 50.57992;2.82098, 50.58237;71;0;1
2.81878, 50.57992;2.82098, 50.58237;71;0;1
2.81878, 50.57992;2.81748, 50.58392;22;0;0
2.8191, 50.52876;2.81803, 50.52749;48;0;2
2.8191, 50.52876;2.81068, 50.5303;88;0;0
2.8191, 50.53548;2.81786, 50.53581;39;0;0
2.8191, 50.53548;2.81868, 50.53593;10;0;0
2.81912, 50.6758;2.81741, 50.67928;59;0;0
2.81912, 50.6758;2.82239, 50.67672;71;0;3
2.81928, 50.53659;2.82004, 50.53695;8;0;2
2.81934, 50.53741;2.81994, 50.53774;7;0;2
2.81934, 50.53741;2.81861, 50.5379;9;0;2
2.81944, 50.53524;2.8213, 50.53603;10;0;1
2.81944, 50.53524;2.8191, 50.53548;5;0;0
2.81946, 50.53616;2.82076, 50.53646;16;0;2
2.81962, 50.54218;2.81988, 50.54199;3;1;1
2.81962, 50.54218;2.81375, 50.54219;59;0;5
2.81963, 50.5297;2.81893, 50.52973;13;0;2
2.81963, 50.5297;2.8191, 50.52876;13;0;2
2.81965, 50.53139;2.81583, 50.53219;28;0;1
2.81975, 50.55465;2.81385, 50.55527;55;0;0
2.81975, 50.55465;2.81996, 50.55449;16;0;0
2.81988, 50.54199;2.82012, 50.54241;8;1;1
2.81996, 50.55449;2.82095, 50.55445;16;0;0
2.81996, 50.55449;2.81861, 50.55402;18;0;4
2.82004, 50.53695;2.81934, 50.53741;8;0;2
2.82004, 50.53695;2.82075, 50.53733;8;0;2
2.82009, 50.53046;2.81965, 50.53139;27;0;2
2.82009, 50.53046;2.81963, 50.5297;10;0;2
2.82012, 50.54241;2.82148, 50.54422;32;0;1
2.82012, 50.54241;2.81962, 50.54218;6;1;1
2.82012, 50.54241;2.82148, 50.54422;32;0;1
2.82031, 50.59391;2.81613, 50.59044;54;0;0
2.82031, 50.59391;2.81847, 50.59557;230;0;0
2.82054, 50.5937;2.82031, 50.59391;2;0;0
2.82072, 50.67128;2.81934, 50.67528;71;0;0
2.82072, 50.67128;2.81809, 50.67076;12;0;1
2.82076, 50.53646;2.82141, 50.53681;8;0;2
2.82076, 50.53646;2.82004, 50.53695;9;0;2
2.82095, 50.55445;2.82302, 50.54601;293;0;0
2.82098, 50.58237;2.82688, 50.58178;199;0;4
2.8213, 50.53603;2.82076, 50.53646;7;0;2
2.8213, 50.53603;2.826, 50.53831;22;0;1
2.82156, 50.59293;2.82054, 50.5937;10;0;0
2.82156, 50.59438;2.82031, 50.59391;19;0;0
2.82156, 50.59438;2.82163, 50.59429;4;0;0
2.82157, 50.56318;2.81597, 50.56369;50;0;0
2.82157, 50.57786;2.81878, 50.57992;18;0;1
2.82157, 50.57786;2.81381, 50.57098;80;0;0
2.82157, 50.57786;2.81878, 50.57992;18;0;1
2.82163, 50.59429;2.82054, 50.5937;40;0;0
2.82163, 50.59429;2.82185, 50.5941;12;0;0
2.8217, 50.53094;2.81965, 50.53139;12;0;1
2.8217, 50.53094;2.82009, 50.53046;35;0;2
2.82205, 50.59744;2.81847, 50.59557;56;0;0
2.82223, 50.57485;2.82165, 50.57452;8;0;4
2.82223, 50.57485;2.82277, 50.57544;44;0;0
2.82225, 50.54513;2.82148, 50.54422;53;0;1
2.82225, 50.54513;2.82148, 50.54422;53;0;1
2.82239, 50.67672;2.83146, 50.67737;170;0;3
2.82239, 50.67672;2.82164, 50.67956;90;0;0
2.82246, 50.577;2.82399, 50.57738;11;0;0
2.82246, 50.577;2.82157, 50.57786;8;0;1
2.82277, 50.57437;2.82277, 50.57544;8;0;1
2.82277, 50.57437;2.82223, 50.57485;32;0;0
2.82277, 50.57544;2.82397, 50.57642;34;0;4
